Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
7167;TITANIC;TITANIC;USA;195;Spillefilm, voksne;Tilladt for børn over 11 år;4;1998;1430182
7844;RINGENES HERRE: EVENTYRET OM RINGEN;THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING;USA;179;.;Tilladt for børn over 11 år;51;2001;1332035
1995;OLSEN BANDEN SER RØDT (NR.8);;DANMARK;105;.;Tilladt for alle;40;1976;1201293
8281;RINGENES HERRE - KONGEN VENDER TILBAGE;THE LORD OF THE RINGS: THE RETURN OF THE KING;USA;202;.;Tilladt for børn over 11 år;51;2003;1168068
9855;AVATAR;AVATAR;USA;162;Spillefilm, voksne;Tilladt for børn over 11 år;51;2009;1158592
8073;RINGENES HERRE - DE TO TÅRNE;THE LORD OF THE RINGS: THE TWO TOWERS;USA;180;.;Tilladt for børn over 11 år;51;2002;1123757
288;GØGEREDEN;ONE FLEW OVER THE CUCKOO'S NEST;USA;135;.;Tilladt for børn over 15 år;11;1976;1119769
2393;OLSEN BANDEN DERUDA' (NR.9);;DANMARK;106;.;Tilladt for alle;39;1977;1044801
12613;NO TIME TO DIE;NO TIME TO DIE;STORBRITANNIEN;164;Spillefilm, voksne;Tilladt for børn over 11 år;39;2021;1038379
4116;E.T.;E.T. - THE EXTRA TERRESTRIAL (SE 7908);USA;115;.;Frarådet for børn under 7 år;51;1982;1018923
6586;LØVERNES KONGE (SE 12271);THE LION KING (SE 12271);USA;89;Spillefilm, børn/unge/familie;Frarådet for børn under 7 år;46;1994;1009411
2785;GREASE;GREASE;USA;111;.;Tilladt for alle;37;1978;1006102
2889;OLSEN BANDEN GÅR I KRIG (NR.10);;DANMARK;107;.;Tilladt for alle;40;1978;1005759
4963;MIT AFRIKA;OUT OF AFRICA;USA;160;.;Tilladt for alle;8;1986;998953
9686;MÆND DER HADER KVINDER;MÄN SOM HATAR KVINNOR;SVERIGE;150;Spillefilm, voksne;Tilladt for børn over 15 år;9;2009;959369
4872;OP PÅ FARS HAT;;DANMARK;89;.;Tilladt for alle;48;1985;953743
6456;ÅNDERNES HUS;DAS GEISTERHAUS;TYSKLAND;147;.;Tilladt for børn over 11 år;50;1993;940700
3181;OLSEN BANDEN OVERGIVER SIG ALDRIG (NR.11);;DANMARK;111;.;Tilladt for alle;52;1979;934878
12136;TERNET NINJA;;DANMARK;82;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;52;2018;929159
4425;MIDT OM NATTEN;;DANMARK;132;.;Tilladt for børn over 11 år;10;1984;922923
11297;SPECTRE;SPECTRE;STORBRITANNIEN;148;Spillefilm, voksne;Tilladt for børn over 11 år;44;2015;915407
12589;TERNET  NINJA 2;TERNE NINJA 2;DANMARK;86;Spillefilm, børn/unge/familie;Tilladt for børn over 11 år;33;2021;911336
1967;FAMILIEN GYLDENKÅL SPRÆNGER BANKEN;;DANMARK;83;.;Tilladt for alle;52;1976;905332
2949;CONVOY;CONVOY;USA;111;.;Tilladt for børn over 11 år;4;1979;890459
6084;DANSER MED ULVE;DANCES WITH WOLVES;USA;180;.;Tilladt for børn over 11 år;19;1991;884100
8982;CASINO ROYALE;CASINO ROYALE;STORBRITANNIEN;145;Spillefilm, voksne;Tilladt for børn over 11 år;47;2006;879561
586;FAR TIL FIRE I BYEN (JULEBAL I NISSELAND);;DANMARK;99;.;Tilladt for alle;46;1956;878112
5974;PRETTY WOMAN;PRETTY WOMAN;USA;119;.;Frarådet for børn under 7 år;32;1990;874223
10577;SKYFALL;SKYFALL;STORBRITANNIEN;143;Spillefilm, voksne;Tilladt for børn over 11 år;43;2012;869999
7857;HARRY POTTER OG DE VISES STEN;HARRY POTTER AND THE SORCERER'S STONE;STORBRITANNIEN;153;.;Tilladt for børn over 11 år;47;2001;862371
6129;KRUMMERNE;;DANMARK;87;.;Tilladt for alle;40;1991;859383
7364;DEN ENESTE ENE;;DANMARK;107;.;Frarådet for børn under 7 år;13;1999;843472
10078;KLOVN - THE MOVIE;;DANMARK;94;Spillefilm, voksne;Tilladt for børn over 11 år;50;2010;838881
2410;AGENT 007-SPIONEN DER ELSKEDE MIG;THE SPY WHO LOVED ME;STORBRITANNIEN;126;.;Tilladt for børn over 11 år;32;1977;832321
7683;ITALIENSK FOR BEGYNDERE;;DANMARK;112;.;Frarådet for børn under 7 år;49;2000;828730
12466;DRUK (2020);DRUK;DANMARK;115;Spillefilm, voksne;Tilladt for børn over 11 år;39;2020;823572
3798;OLSEN BANDENS FLUGT OVER PLANKEVÆRKET (NR.12);;DANMARK;94;.;Tilladt for alle;42;1981;810956
2829;VINTERBØRN;;DANMARK;100;.;Tilladt for alle;35;1978;809544
5189;CROCODILE DUNDEE;CROCODILE DUNDEE;AUSTRALIEN;98;.;Tilladt for børn over 11 år;7;1987;802146
6417;JURASSIC PARK;JURASSIC PARK;USA;128;.;Tilladt for børn over 11 år;37;1993;796161
9791;PIGEN DER LEGEDE MED ILDEN;FLICKAN SOM LEKTE MED ELDEN;SVERIGE;129;Spillefilm, voksne;Tilladt for børn over 15 år;38;2009;786683
3746;AGENT 007 - STRENGT FORTROLIGT;FOR YOUR EYES ONLY;STORBRITANNIEN;128;.;Tilladt for børn over 11 år;33;1981;785558
205;DØDENS GAB;JAWS;USA;125;.;Tilladt for børn over 15 år;52;1975;772353
12784;TOP GUN: MAVERICK;TOP GUN: MAVERICK;USA;131;Spillefilm, voksne;Tilladt for børn over 11 år;21;2022;769240
8085;HARRY POTTER OG HEMMELIGHEDERNES KAMMER;HARRY POTTER AND THE CHAMBER OF SECRETS;STORBRITANNIEN;161;.;Tilladt for børn over 11 år;47;2002;766149
